,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021400013,9,202694,Marcus Morris,1610612756,Phoenix Suns,1,11,3,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,0,1,1
1,Shot Chart Detail,0021400013,40,202694,Marcus Morris,1610612756,Phoenix Suns,1,7,39,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,234,47,1,1
2,Shot Chart Detail,0021400013,55,202694,Marcus Morris,1610612756,Phoenix Suns,1,6,18,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-242,-5,1,0
3,Shot Chart Detail,0021400013,89,202694,Marcus Morris,1610612756,Phoenix Suns,1,4,20,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,3,1,0
4,Shot Chart Detail,0021400013,104,202694,Marcus Morris,1610612756,Phoenix Suns,1,3,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-210,126,1,1
5,Shot Chart Detail,0021400013,106,202694,Marcus Morris,1610612756,Phoenix Suns,1,2,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,192,165,1,0
6,Shot Chart Detail,0021400013,227,202694,Marcus Morris,1610612756,Phoenix Suns,2,3,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-158,75,1,1
7,Shot Chart Detail,0021400013,295,202694,Marcus Morris,1610612756,Phoenix Suns,3,8,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,99,3,1,0
8,Shot Chart Detail,0021400013,301,202694,Marcus Morris,1610612756,Phoenix Suns,3,8,0,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,241,-17,1,1
9,Shot Chart Detail,0021400013,306,202694,Marcus Morris,1610612756,Phoenix Suns,3,7,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,206,145,1,0
10,Shot Chart Detail,0021400013,315,202694,Marcus Morris,1610612756,Phoenix Suns,3,6,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,155,-8,1,1
11,Shot Chart Detail,0021400013,325,202694,Marcus Morris,1610612756,Phoenix Suns,3,5,10,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,72,126,1,1
12,Shot Chart Detail,0021400013,361,202694,Marcus Morris,1610612756,Phoenix Suns,3,2,34,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,226,0,1,1
13,Shot Chart Detail,0021400013,408,202694,Marcus Morris,1610612756,Phoenix Suns,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,237,12,1,0
14,Shot Chart Detail,0021400024,41,202694,Marcus Morris,1610612756,Phoenix Suns,1,7,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-79,241,1,0
15,Shot Chart Detail,0021400024,71,202694,Marcus Morris,1610612756,Phoenix Suns,1,4,58,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,-14,1,0
16,Shot Chart Detail,0021400024,85,202694,Marcus Morris,1610612756,Phoenix Suns,1,3,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-142,37,1,0
17,Shot Chart Detail,0021400024,282,202694,Marcus Morris,1610612756,Phoenix Suns,3,11,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-105,228,1,0
18,Shot Chart Detail,0021400024,313,202694,Marcus Morris,1610612756,Phoenix Suns,3,8,45,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-45,28,1,1
19,Shot Chart Detail,0021400024,329,202694,Marcus Morris,1610612756,Phoenix Suns,3,7,21,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-10,119,1,1
20,Shot Chart Detail,0021400024,335,202694,Marcus Morris,1610612756,Phoenix Suns,3,6,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-188,42,1,0
