,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021400020,34,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,1,8,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,15,1,1
1,Shot Chart Detail,0021400020,60,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,1,6,9,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0
2,Shot Chart Detail,0021400020,243,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,2,3,34,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
3,Shot Chart Detail,0021400020,259,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,2,1,45,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
4,Shot Chart Detail,0021400020,292,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,3,10,26,Missed Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-4,31,1,0
5,Shot Chart Detail,0021400020,355,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,3,4,13,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
6,Shot Chart Detail,0021400026,13,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,1,10,27,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
7,Shot Chart Detail,0021400026,267,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,2,2,22,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,-5,1,1
8,Shot Chart Detail,0021400026,449,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,4,10,46,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
9,Shot Chart Detail,0021400026,469,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,4,9,1,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
10,Shot Chart Detail,0021400026,482,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,4,7,55,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
11,Shot Chart Detail,0021400039,53,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,1,6,1,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,0,1,0
12,Shot Chart Detail,0021400039,75,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,1,4,9,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,6,1,0
13,Shot Chart Detail,0021400039,463,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,4,6,45,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,-11,1,1
14,Shot Chart Detail,0021400039,476,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,4,4,59,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,7,39,1,0
15,Shot Chart Detail,0021400039,516,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,4,1,40,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
16,Shot Chart Detail,0021400048,16,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,1,9,40,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,25,1,0
17,Shot Chart Detail,0021400048,80,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,1,1,47,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
18,Shot Chart Detail,0021400048,164,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,2,5,6,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
19,Shot Chart Detail,0021400048,179,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,2,3,12,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
20,Shot Chart Detail,0021400048,238,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,3,7,43,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
21,Shot Chart Detail,0021400068,23,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,1,9,6,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
22,Shot Chart Detail,0021400068,65,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,1,4,2,Missed Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,50,1,0
23,Shot Chart Detail,0021400068,123,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,2,9,24,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
24,Shot Chart Detail,0021400068,139,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,2,7,40,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
25,Shot Chart Detail,0021400068,151,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,2,6,28,Missed Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0
26,Shot Chart Detail,0021400068,194,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,2,2,14,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
27,Shot Chart Detail,0021400068,265,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,3,5,50,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
28,Shot Chart Detail,0021400068,369,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,4,9,48,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,19,1,0
29,Shot Chart Detail,0021400068,392,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,4,8,32,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
30,Shot Chart Detail,0021400068,417,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,4,5,1,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
31,Shot Chart Detail,0021400082,2,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,1,11,40,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,4,60,1,0
32,Shot Chart Detail,0021400082,231,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,2,3,43,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1
33,Shot Chart Detail,0021400082,242,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,2,2,20,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1
34,Shot Chart Detail,0021400082,388,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,3,2,31,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
35,Shot Chart Detail,0021400102,180,201599,DeAndre Jordan,1610612746,Los Angeles Clippers,2,5,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-5,1,1
