"","x"
"1","101106"
"2","101107"
"3","101108"
"4","101109"
"5","101111"
"6","101112"
"7","101114"
"8","101123"
"9","101126"
"10","101127"
"11","101133"
"12","101135"
"13","101138"
"14","101139"
"15","101141"
"16","101145"
"17","101150"
"18","101161"
"19","101162"
"20","101179"
"21","101181"
"22","101187"
"23","101236"
"24","1495"
"25","1713"
"26","1717"
"27","1718"
"28","1737"
"29","1882"
"30","1889"
"31","1891"
"32","1938"
"33","200745"
"34","200746"
"35","200751"
"36","200752"
"37","200755"
"38","200757"
"39","200765"
"40","200768"
"41","200770"
"42","200779"
"43","200782"
"44","200794"
"45","200797"
"46","200811"
"47","200826"
"48","201142"
"49","201143"
"50","201144"
"51","201145"
"52","201147"
"53","201148"
"54","201149"
"55","201150"
"56","201152"
"57","201155"
"58","201156"
"59","201158"
"60","201160"
"61","201162"
"62","201163"
"63","201166"
"64","201167"
"65","201168"
"66","201171"
"67","201177"
"68","201188"
"69","201196"
"70","201202"
"71","201228"
"72","201229"
"73","201563"
"74","201564"
"75","201565"
"76","201566"
"77","201567"
"78","201568"
"79","201569"
"80","201571"
"81","201572"
"82","201573"
"83","201574"
"84","201575"
"85","201577"
"86","201578"
"87","201579"
"88","201580"
"89","201581"
"90","201582"
"91","201583"
"92","201584"
"93","201585"
"94","201586"
"95","201587"
"96","201588"
"97","201589"
"98","201593"
"99","201596"
"100","201599"
"101","201600"
"102","201601"
"103","201609"
"104","201627"
"105","201933"
"106","201935"
"107","201936"
"108","201937"
"109","201939"
"110","201941"
"111","201942"
"112","201943"
"113","201945"
"114","201946"
"115","201949"
"116","201950"
"117","201951"
"118","201952"
"119","201954"
"120","201956"
"121","201959"
"122","201960"
"123","201961"
"124","201962"
"125","201965"
"126","201967"
"127","201971"
"128","201973"
"129","201975"
"130","201976"
"131","201977"
"132","201978"
"133","201980"
"134","201988"
"135","202066"
"136","202083"
"137","202087"
"138","202322"
"139","202323"
"140","202324"
"141","202325"
"142","202326"
"143","202328"
"144","202329"
"145","202330"
"146","202331"
"147","202332"
"148","202334"
"149","202335"
"150","202337"
"151","202338"
"152","202339"
"153","202340"
"154","202343"
"155","202344"
"156","202347"
"157","202349"
"158","202355"
"159","202362"
"160","202379"
"161","202388"
"162","202389"
"163","202390"
"164","202391"
"165","202397"
"166","202407"
"167","202498"
"168","202681"
"169","202682"
"170","202683"
"171","202684"
"172","202685"
"173","202687"
"174","202688"
"175","202689"
"176","202690"
"177","202691"
"178","202692"
"179","202693"
"180","202694"
"181","202695"
"182","202696"
"183","202697"
"184","202699"
"185","202700"
"186","202702"
"187","202703"
"188","202704"
"189","202706"
"190","202708"
"191","202709"
"192","202710"
"193","202711"
"194","202713"
"195","202714"
"196","202718"
"197","202720"
"198","202730"
"199","202734"
"200","202738"
"201","202962"
"202","203076"
"203","203077"
"204","203078"
"205","203079"
"206","203080"
"207","203081"
"208","203082"
"209","203083"
"210","203084"
"211","203085"
"212","203086"
"213","203087"
"214","203088"
"215","203089"
"216","203090"
"217","203092"
"218","203093"
"219","203094"
"220","203095"
"221","203096"
"222","203098"
"223","203099"
"224","203100"
"225","203101"
"226","203105"
"227","203109"
"228","203110"
"229","203112"
"230","203114"
"231","203115"
"232","203118"
"233","203123"
"234","203124"
"235","203135"
"236","203138"
